question_text,answer_text
Is FAM 4810 an 8-credit research project?,Yes.
Is MIB 4810 an 8-credit research project?,Yes.
Is CHE 4216 compulsory for Chemistry Honours?,Yes.
What is the title of CHE 3216?,Advanced Analytical and Environmental Chemistry – Laboratory.
What is the title of CHE 3121?,Industrial Training.
What is the title of CHE 3223?,Current Topics in Chemistry.
What is the title of CHE 4206?,Nanochemistry.
What is the title of MAT 4304?,Statistical Quality Control.
What is the title of PHY 4308?,Characterization Techniques.
What is the title of PHY 4211?,Nanomaterials and Nanotechnology.
What is the title of PHY 4215?,Applied Geophysics.
What is the title of ICT 1404?,Mathematics and Statistics for Computing.
What is the title of ICT 2408?,Computer Organization and Architecture.
What is the title of ICT 3205?,Information Technology Project Management.
What is the title of ICT 4307?,Bio Informatics and Computational Biology.
What is the title of HPF 1101?,Devising Applicable Measures of Individual and Group Health.
What is the title of HPF 2201?,Applying Measures to Improve Health Status of a Student Group.
What is the title of HPT 3312?,The Sri Lankan Situation of Major Health Issues.
What is the title of HPP 4801?,Project (Part I).
What is the title of HPP 4802?,Project (Part II).
Is COM 1308 a 3-credit course?,Yes.
Is PHY 3302 a 3-credit course?,Yes.
Is MAT 2302 a 3-credit course?,Yes.
Is STA 1301 a 3-credit course?,Yes.
Is STA 3401 a 4-credit course?,Yes.
Is HPT 1306 a 3-credit course?,Yes.
Is ICT 1402 a 4-credit course?,Yes.
Is ICT 4609 a 6-credit course?,Yes.
Is ICT 4410 a 4-credit course?,Yes.
Is IDC 1201 a 2-credit course?,Yes.
Is IDC 4201 a 2-credit course?,Yes.
"What is the abbreviation for Chemistry, Computer Science, and Physics?",CCsP.
"What is the abbreviation for Chemistry, Mathematics, and Physics?",CMP.
"What is the abbreviation for Physics, Mathematics, and Statistics?",PMS.
"What is the abbreviation for Chemistry, Botany, and Zoology?",CBoZo.
What is the abbreviation for Chemistry and Physics?,CP.
What is the abbreviation for Mathematics and Physics?,MP.
What is the abbreviation for Computer Science and Statistics?,CsS.
Is a student allowed to drop a subject in a three-subject combination?,"Yes, to change it to a two-subject combination."
When is the deadline to transfer from a three-subject to a two-subject combination?,Up to the second year first semester within the add/drop period.
Can a student drop a subject from a combination with Botany and Zoology?,No.
"If a combination includes Mathematics and Statistics, which can be dropped?",Only Mathematics or Statistics.
What is the minimum number of students required for a subject combination to be offered?,10 students.
Is the 10-student limit relevant to freshly introduced subjects?,"No, not for the first three years."
Is BIO 1201 counted as a Zoology course in the CBoZo combination?,Yes.
Is BIO 1202 counted as a Botany course in the CBoZo combination?,Yes.
Is BIO 1203 counted as a Botany course in the CBoZo combination?,Yes.
Is FDN 1203 compulsory for those who followed Combined Maths at A/L?,Yes.
Is FDN 1204 compulsory for those who followed Biology at A/L?,Yes.
Is CHE 3214 compulsory in the CCs combination?,Yes.
Is COM 3405 compulsory in the CCs combination?,Yes.
Is MAT 3202 compulsory in the CM combination?,Yes.
Is MAT 3206 compulsory in the CM combination?,Yes.
Is PHY 3209 compulsory in the CP combination?,Yes.
Is STA 3303 compulsory in the CS combination?,Yes.
Is COM 4604 compulsory for the ASCs Honours?,Yes.
Is CHE 4605 compulsory for the ASC Honours?,Yes.
Is MAT 4610 compulsory for the ASM Honours?,Yes.
Is PHY 4613 compulsory for the ASP Honours?,Yes.
"Is IDC 4201 compulsory for ASM, ASP, ASCs, and ASC?",Yes.
Is MAT 4301 a compulsory course for ASM?,Yes.
What is the abbreviation for Information Technology?,IT.
What is the abbreviation for Health Promotion?,HP.
What is the abbreviation for Faculty of Applied Sciences?,FAS.
What is the abbreviation for Rajarata University of Sri Lanka?,RUSL.
What is the abbreviation for Central Province Affiliated University College?,CPAUC.
Is MAT 4301 (Combinatorics) a 3-credit course?,Yes.
Is MAT 4302 (Computational Mathematics) a 3-credit course?,Yes.
Is MAT 4305 (Operations Research III) a 3-credit course?,Yes.
Is MAT 4306 (Operations Research IV) a 3-credit course?,Yes.
Is MAT 4308 (Statistical Quality Control) a 3-credit course?,Yes.
Is MAT 4609 (Research Project) a 6-credit course?,Yes.
Is PHY 4302 a 3-credit course?,Yes.
Is PHY 4613 a 6-credit course?,Yes.
Is CHE 4210 a 2-credit course?,Yes.
Is CHE 4814 an 8-credit course?,Yes.
Is HPT 4501 a 5-credit course?,Yes.
Is HPT 4506 a 5-credit course?,Yes.
Is HPP 4801 an 8-credit course?,Yes.
Is HPP 4802 an 8-credit course?,Yes.
Is IDC 1201 (Philosophy of Science) compulsory?,Yes.
Is IDC 1202 (Career Development) compulsory?,Yes.
Is IDC 4201 (Scientific Communication) compulsory for Applied Sciences?,Yes.
Is IDC 4201 (Research Methodology) compulsory for IT?,Yes.
Is IDC 3201 (Entrepreneurship Development) compulsory for IT?,Yes.
Is ICT 3411 (Group Project) compulsory for the BSc in IT degree?,Yes.
Is COM 3405 (Group Project) compulsory for the BSc in Applied Sciences (CS)?,Yes.
Is BIO 3207 (Field Project) an optional course?,Yes.
Is CHE 3210 (Research Project) an optional course?,Yes.
Is STA 3303 (Independent Study) a compulsory course?,Yes.
What is the prerequisite for ZOO 2203?,ZOO 1302 and ZOO 2201.
What is the prerequisite for ZOO 3203?,ZOO 1203.
What is the prerequisite for BIO 3204?,BIO 2203 and BIO 3201.
What is the prerequisite for FAM 3201?,ZOO 2204.
What is the prerequisite for CHE 2201?,"CHE 1302, CHE 1104, and CHE 1105."
What is the prerequisite for CHE 3311?,CHE 2103 and CHE 2106.
What is the prerequisite for COM 1305?,COM 1201.
What is the prerequisite for COM 2307?,COM 1201 and COM 1407.
What is the prerequisite for COM 3306?,COM 2307.
What is the prerequisite for PHY 2101?,A/L Physics or PHY 1201.
What is the prerequisite for MAT 2201?,MAT 1201.
What is the prerequisite for MAT 2305?,MAT 1205.
What is the prerequisite for STA 1304?,STA 1202.
What is the prerequisite for STA 3401?,STA 2304.
What is the prerequisite for STA 3402?,STA 3401.
Is CHE 1104 a corequisite for CHE 1201?,Yes.
Is CHE 1105 a corequisite for CHE 1203?,Yes.
Is PHY 1205 a corequisite for PHY 1201?,Yes.
Is PHY 2207 a corequisite for PHY 2101?,Yes.
Is COM 3306 a corequisite for COM 3307?,Yes.
Is STA 2207 a corequisite for STA 2302?,Yes.
Is IDC 1201 title Philosophy of Science?,Yes.
Is IDC 2201 title English for Professional Purposes?,Yes.
Is IDC 2203 title Principles and Practices of Marketing?,Yes.
Is IDC 3201 title Entrepreneurship Development?,Yes.
Is IDC 3202 title Standards and Quality Management Systems?,Yes.
Is IDC 3203 title Human Resource Management?,Yes.
Is IDC 4201 (Applied) title Scientific Communication?,Yes.
Is IDC 4201 (IT) title Research Methodology?,Yes.
What is the duration of an intensive English course?,12-16 weeks.
Are students grouped by competency in the English course?,Yes.
Is regular attendance compulsory for the English course?,Yes.
Is FDN 1202 (Introduction to Computers) compulsory?,Yes (except for IT students).
What topics are in FDN 1202?,"Architecture, Hardware, Software, Programming languages, DOS, Windows."
Which micro-computer applications are in FDN 1202?,"MS Word, MS Excel, MS Access, MS FrontPage."
What is the nature of Biology in FDN 1203?,"Methods of inquiry, basic concepts, biomes, microhabitats."
What are the topics in FDN 1204?,"Sets, Inequalities, Equations, Functions, Limits, Derivatives."
Does FDN 1204 cover Matrices?,Yes.
What is the goal of FDN 1205?,To introduce science and technology to non-science students.
Does FDN 1205 cover Astronomy?,Yes.
Does FDN 1205 cover Earth Science?,Yes.
Does FDN 1205 cover Radiation?,Yes.
Does FDN 1205 cover Ecosystems?,Yes.
