question_text,label
Is Real Analysis II (MAT 2305) a prerequisite for Mathematical Statistics I?,answer
What is the prerequisite for Statistical Learning (STA 3401)?,answer
What is the specialization area for BDC courses?,answer
Does the faculty offer Bursaries?,answer
What is the Mahapola Scholarship?,answer
What are the criteria for the Hand in Hand Scholarship?,answer
Who receives the Dr. Charles Santiapillai Gold Medal?,answer
Is there a gold medal for IT students?,answer
What is the requirement for the Health Promotion gold medal?,answer
Can a student apply for the Dean’s Award?,answer
"What is a ""Grace Chance""?",answer
When must a student request a grace chance?,answer
What is the maximum rigorous imprisonment for criminal intimidation?,answer
Is wrongful restraint a punishable offence?,answer
Is bail allowed for hostage-taking suspects?,answer
Does the student handbook reserve the right to amend content?,answer
What is the course title for PHY 2103?,answer
Is General Physics (PHY 1201) a prerequisite for Thermodynamics?,answer
What is the credit rating for Graph Theory (MAT 3201)?,answer
Is Introduction to Statistics (STA 1301) a 3-credit course?,answer
What is the duration of a 1-credit theory exam?,answer
What is the duration of a 2-credit theory exam?,answer
What grade corresponds to a 1.7 grade point?,answer
What grade point is a D+?,answer
What is the minimum credits for BSc in Information Technology?,answer
What is the minimum GPA for a First Class in IT?,answer
How many credits must be from Health Promotion for Honours eligibility?,answer
Can a student re-sit if they get an E grade?,answer
What is the code for Foundation courses?,answer
What is the code for Interdisciplinary courses?,answer
Is General Biology (FDN 1203) zero-credited?,answer
What is IDC 1201?,answer
Is Entrepreneurship Development offered in the 3rd year?,answer
What is the prerequisite for Molecular Biology (BIO 3201)?,answer
What does MIB 3201 stand for?,answer
Is Analytical Chemistry (CHE 2103) a second-year course?,answer
What is CHE 3203?,answer
What is the course title for COM 2308?,answer
What is COM 3303?,answer
Is Quantum Mechanics (PHY 4210) an Honours course?,answer
What is PHY 2210?,answer
What is the prerequisite for Linear Algebra (MAT 2302)?,answer
What is MAT 2306?,answer
Is Probability Theory (STA 1304) a first-year course?,answer
What is the title of STA 2304?,answer
"Which department offers ""Working with Communities"" (HPT 2302)?",answer
What is HPF 2102?,answer
What is the course title for ICT 2204?,answer
Is Multimedia Technologies (ICT 2210) an IT course?,answer
What is ICT 3301?,answer
Is Scientific Communication compulsory for all 4th year students?,answer
What is the title of BIO 1201?,answer
What is the prerequisite for Applied Entomology (ZOO 3203)?,answer
Is Nanochemistry (CHE 4206) an Honours course?,answer
What is COM 1308?,answer
What is MAT 3201?,answer
Is Human Resource Management (IDC 3203) offered in 3rd year?,answer
What is the credit rating for Field Project (BIO 3207)?,answer
What is CHE 1302?,answer
What is COM 1305?,answer
Is Mobile Computing (COM 4201) a 4th-year course?,answer
What is the course title for PHY 3211?,answer
What is STA 2305?,answer
Is E-Learning (ICT 4201) a 4th year course?,answer
What is the abbreviation for Biodiversity Conservation?,answer
What is the abbreviation for Fisheries and Aquaculture Management?,answer
What is the abbreviation for Microbiology?,answer
What is the first digit in a course code?,answer
What is the second digit in a course code?,answer
What are the last two digits in a course code?,answer
Is IDC 1202 a GPA course?,answer
What is the course title for BIO 1203?,answer
What is the prerequisite for Invertebrate Diversity (ZOO 1201)?,answer
What is the course title for BOT 1202?,answer
What is the prerequisite for Animal Behaviour (ZOO 2203)?,answer
What is the course title for BIO 2201?,answer
What is the prerequisite for Postharvest Technology (BOT 3203)?,answer
What is the course title for BDC 3301?,answer
What is the prerequisite for Breeding Techniques (FAM 3202)?,answer
What is the title of MIB 3204?,answer
What is the corequisite for CHE 1203?,answer
What is the prerequisite for Introduction to Biochemistry (CHE 2104)?,answer
What is the title of CHE 3209?,answer
What is the prerequisite for Advanced Physical Chemistry I (CHE 4202)?,answer
What is the title of CHE 4308?,answer
What is the title of COM 1201?,answer
What is the prerequisite for Systems Analysis and Design (COM 2301)?,answer
What is the title of COM 3306?,answer
What is the prerequisite for Intelligent Systems (ICT 4302)?,answer
What is the title of PHY 1102?,answer
What is the prerequisite for Electromagnetism (PHY 2102)?,answer
What is the title of PHY 3302?,answer
What is the title of MAT 1201?,answer
What is the title of MAT 1205?,answer
What is the title of MAT 2203?,answer
What is the title of MAT 3202?,answer
What is the title of STA 1301?,answer
What is the title of STA 2302?,answer
What is the title of STA 3401?,answer
What is the title of HPT 1103?,answer
What is the title of HPT 2302?,answer
What is the title of HPT 3205?,answer
What is the title of HPT 4204?,answer
What is the title of ICT 1201?,answer
What is the title of ICT 2305?,answer
What is the title of ICT 3411?,answer
What is the title of ICT 4306?,answer
What is the title of FDN 1205?,answer
What is the title of IDC 1201?,answer
What is the title of BIO 2302?,answer
What is the title of BOT 2202?,answer
What is the title of ZOO 2204?,answer
What is the title of CHE 2205?,answer
What is the title of COM 2307?,answer
What is the title of MAT 2302?,answer
What is the title of PHY 2204?,answer
What is the title of STA 2301?,answer
What is the title of IDC 3201?,answer
What is the title of BIO 3201?,answer
What is the title of BOT 3201?,answer
What is the title of ZOO 3201?,answer
What is the title of BDC 3301?,answer
What is the title of FAM 3201?,answer
What is the title of MIB 3201?,answer
What is the title of CHE 3201?,answer
What is the title of COM 3401?,answer
What is the title of MAT 3201?,answer
What is the title of PHY 3207?,answer
What is the title of STA 3303?,answer
What is the title of IDC 4201?,answer
What is the title of BDC 4201?,answer
What is the title of FAM 4201?,answer
What is the title of MIB 4201?,answer
What is the title of CHE 4201?,answer
What is the title of MAT 4301?,answer
What is the title of PHY 4201?,answer
What is the title of HPT 4501?,answer
What is the title of ICT 4201?,answer
What is the title of ICT 4609?,answer
How many credits equal a Field work rating?,answer
How many weeks of industrial training equal 1 credit?,answer
How many weeks of research equal 1 credit?,answer
Is Mathematics a subject in Applied Sciences?,answer
Is Physics a subject in Applied Sciences?,answer
Is Statistics a subject in Applied Sciences?,answer
Is Chemistry a subject in Applied Sciences?,answer
Is Computer Science a subject in Applied Sciences?,answer
Who receives the Dr. Gamini Wickramasinghe Gold Medal?,answer
Who receives the Dr. Chamila Mannapperuma Memorial Gold Medal?,answer
Who receives the Dr. Shirani Nathaneal Memorial Gold Medal?,answer
What aesthetic abilities are marks given for in the Dean's Award?,answer
What is the maximum mark for Community Service in the Dean's Award?,answer
What is the maximum mark for Sports in the Dean's Award?,answer
What is the maximum mark for Research in the Dean's Award?,answer
Does winning a National aesthetic award give marks for the Dean's Award?,answer
Does authoring a paper in a peer-reviewed journal count for the Dean's Award?,answer
Is wrongful restraint a cognizable offence?,answer
Is ragging a cognizable offence?,answer
Is criminal intimidation a cognizable offence?,answer
Is unlawful confinement a cognizable offence?,answer
What is the abbreviation for Applied Sciences Chemistry?,answer
What is the abbreviation for Applied Sciences Physics?,answer
What is the abbreviation for Applied Sciences Computer Sciences?,answer
What is the abbreviation for Applied Sciences Mathematics?,answer
Is PHY 4308 compulsory for the ASP Honours course?,answer
Is MAT 4301 compulsory for the ASM Honours course?,answer
Is CHE 4605 a research project course for ASC?,answer
Is COM 4604 a research project course for ASCs?,answer
Is MAT 4610 a research project course for ASM?,answer
Is PHY 4613 a research project course for ASP?,answer
Which subject combinations are eligible for Industrial Mathematics Honours?,answer
Is IDC 3203 compulsory for Industrial Mathematics Honours?,answer
What is the credit rating for MAT 4310 (Industrial Training Program)?,answer
What is the credit rating for MAT 4609 (Research Project)?,answer
Is PHY 3302 compulsory for Joint Major Physics?,answer
Is CHE 4605 a 6-credit research project?,answer
Is PHY 4613 a 6-credit research project?,answer
Is BIO 3201 compulsory for BDC specialization?,answer
Is BIO 3206 compulsory for BDC specialization?,answer
Is FAM 3201 compulsory for FAM specialization?,answer
Is MIB 3201 compulsory for MIB specialization?,answer
"Is BIO 4204 compulsory for BDC, FAM, and MIB specializations?",answer
Is BDC 4810 an 8-credit research project?,answer
Is FAM 4810 an 8-credit research project?,answer
Is MIB 4810 an 8-credit research project?,answer
Is CHE 4216 compulsory for Chemistry Honours?,answer
What is the title of CHE 3216?,answer
What is the title of CHE 3121?,answer
What is the title of CHE 3223?,answer
What is the title of CHE 4206?,answer
What is the title of MAT 4304?,answer
What is the title of PHY 4308?,answer
What is the title of PHY 4211?,answer
What is the title of PHY 4215?,answer
What is the title of ICT 1404?,answer
What is the title of ICT 2408?,answer
What is the title of ICT 3205?,answer
What is the title of ICT 4307?,answer
What is the title of HPF 1101?,answer
What is the title of HPF 2201?,answer
What is the title of HPT 3312?,answer
What is the title of HPP 4801?,answer
What is the title of HPP 4802?,answer
Is COM 1308 a 3-credit course?,answer
Is PHY 3302 a 3-credit course?,answer
Is MAT 2302 a 3-credit course?,answer
Is STA 1301 a 3-credit course?,answer
Is STA 3401 a 4-credit course?,answer
Is HPT 1306 a 3-credit course?,answer
Is ICT 1402 a 4-credit course?,answer
Is ICT 4609 a 6-credit course?,answer
Is ICT 4410 a 4-credit course?,answer
Is IDC 1201 a 2-credit course?,answer
Is IDC 4201 a 2-credit course?,answer
"What is the abbreviation for Chemistry, Computer Science, and Physics?",answer
"What is the abbreviation for Chemistry, Mathematics, and Physics?",answer
"What is the abbreviation for Physics, Mathematics, and Statistics?",answer
"What is the abbreviation for Chemistry, Botany, and Zoology?",answer
What is the abbreviation for Chemistry and Physics?,answer
What is the abbreviation for Mathematics and Physics?,answer
What is the abbreviation for Computer Science and Statistics?,answer
Is a student allowed to drop a subject in a three-subject combination?,answer
When is the deadline to transfer from a three-subject to a two-subject combination?,answer
Can a student drop a subject from a combination with Botany and Zoology?,answer
"If a combination includes Mathematics and Statistics, which can be dropped?",answer
What is the minimum number of students required for a subject combination to be offered?,answer
Is the 10-student limit relevant to freshly introduced subjects?,answer
Is BIO 1201 counted as a Zoology course in the CBoZo combination?,answer
Is BIO 1202 counted as a Botany course in the CBoZo combination?,answer
Is BIO 1203 counted as a Botany course in the CBoZo combination?,answer
Is FDN 1203 compulsory for those who followed Combined Maths at A/L?,answer
Is FDN 1204 compulsory for those who followed Biology at A/L?,answer
Is CHE 3214 compulsory in the CCs combination?,answer
Is COM 3405 compulsory in the CCs combination?,answer
Is MAT 3202 compulsory in the CM combination?,answer
Is MAT 3206 compulsory in the CM combination?,answer
Is PHY 3209 compulsory in the CP combination?,answer
Is STA 3303 compulsory in the CS combination?,answer
Is COM 4604 compulsory for the ASCs Honours?,answer
Is CHE 4605 compulsory for the ASC Honours?,answer
Is MAT 4610 compulsory for the ASM Honours?,answer
Is PHY 4613 compulsory for the ASP Honours?,answer
"Is IDC 4201 compulsory for ASM, ASP, ASCs, and ASC?",answer
Is MAT 4301 a compulsory course for ASM?,answer
What is the abbreviation for Information Technology?,answer
What is the abbreviation for Health Promotion?,answer
What is the abbreviation for Faculty of Applied Sciences?,answer
What is the abbreviation for Rajarata University of Sri Lanka?,answer
What is the abbreviation for Central Province Affiliated University College?,answer
Is MAT 4301 (Combinatorics) a 3-credit course?,answer
Is MAT 4302 (Computational Mathematics) a 3-credit course?,answer
Is MAT 4305 (Operations Research III) a 3-credit course?,answer
Is MAT 4306 (Operations Research IV) a 3-credit course?,answer
Is MAT 4308 (Statistical Quality Control) a 3-credit course?,answer
Is MAT 4609 (Research Project) a 6-credit course?,answer
Is PHY 4302 a 3-credit course?,answer
Is PHY 4613 a 6-credit course?,answer
Is CHE 4210 a 2-credit course?,answer
Is CHE 4814 an 8-credit course?,answer
Is HPT 4501 a 5-credit course?,answer
Is HPT 4506 a 5-credit course?,answer
Is HPP 4801 an 8-credit course?,answer
Is HPP 4802 an 8-credit course?,answer
Is IDC 1201 (Philosophy of Science) compulsory?,answer
Is IDC 1202 (Career Development) compulsory?,answer
Is IDC 4201 (Scientific Communication) compulsory for Applied Sciences?,answer
Is IDC 4201 (Research Methodology) compulsory for IT?,answer
Is IDC 3201 (Entrepreneurship Development) compulsory for IT?,answer
Is ICT 3411 (Group Project) compulsory for the BSc in IT degree?,answer
Is COM 3405 (Group Project) compulsory for the BSc in Applied Sciences (CS)?,answer
Is BIO 3207 (Field Project) an optional course?,answer
Is CHE 3210 (Research Project) an optional course?,answer
Is STA 3303 (Independent Study) a compulsory course?,answer
What is the prerequisite for ZOO 2203?,answer
What is the prerequisite for ZOO 3203?,answer
What is the prerequisite for BIO 3204?,answer
What is the prerequisite for FAM 3201?,answer
What is the prerequisite for CHE 2201?,answer
What is the prerequisite for CHE 3311?,answer
What is the prerequisite for COM 1305?,answer
What is the prerequisite for COM 2307?,answer
What is the prerequisite for COM 3306?,answer
What is the prerequisite for PHY 2101?,answer
What is the prerequisite for MAT 2201?,answer
What is the prerequisite for MAT 2305?,answer
What is the prerequisite for STA 1304?,answer
What is the prerequisite for STA 3401?,answer
What is the prerequisite for STA 3402?,answer
Is CHE 1104 a corequisite for CHE 1201?,answer
Is CHE 1105 a corequisite for CHE 1203?,answer
Is PHY 1205 a corequisite for PHY 1201?,answer
Is PHY 2207 a corequisite for PHY 2101?,answer
Is COM 3306 a corequisite for COM 3307?,answer
Is STA 2207 a corequisite for STA 2302?,answer
Is IDC 1201 title Philosophy of Science?,answer
Is IDC 2201 title English for Professional Purposes?,answer
Is IDC 2203 title Principles and Practices of Marketing?,answer
Is IDC 3201 title Entrepreneurship Development?,answer
Is IDC 3202 title Standards and Quality Management Systems?,answer
Is IDC 3203 title Human Resource Management?,answer
Is IDC 4201 (Applied) title Scientific Communication?,answer
Is IDC 4201 (IT) title Research Methodology?,answer
What is the duration of an intensive English course?,answer
Are students grouped by competency in the English course?,answer
Is regular attendance compulsory for the English course?,answer
Is FDN 1202 (Introduction to Computers) compulsory?,answer
What topics are in FDN 1202?,answer
Which micro-computer applications are in FDN 1202?,answer
What is the nature of Biology in FDN 1203?,answer
What are the topics in FDN 1204?,answer
Does FDN 1204 cover Matrices?,answer
What is the goal of FDN 1205?,answer
Does FDN 1205 cover Astronomy?,answer
Does FDN 1205 cover Earth Science?,answer
Does FDN 1205 cover Radiation?,answer
Does FDN 1205 cover Ecosystems?,answer
What are the topics in FDN 1306?,answer
Does FDN 1306 cover Probability?,answer
What is the objective of IDC 1201?,answer
Does IDC 1201 analyze the reliability of scientific knowledge?,answer
What is the assessment for IDC 1202?,answer
What are the biomolecules in BIO 1201?,answer
Does BIO 1202 cover Normal distribution?,answer
Does BIO 1202 use statistical software?,answer
What is in BIO 1203?,answer
What is the focus of BOT 1201?,answer
What are the meristematic tissues in BOT 1202?,answer
What is the focus of ZOO 1201?,answer
What are the vertebrate classes in ZOO 1302?,answer
What is the definition of Insecta in ZOO 1203?,answer
What are the periodic properties in CHE 1201?,answer
Does CHE 1302 cover Thermodynamics?,answer
