question_text,label
Is CHE 4605 a research project course for ASC?,answer
What is the title of ICT 3411?,answer
What is the title of FAM 4201?,answer
How do I withdraw from university permanently?,escalate
What subjects are optional this year?,clarify
Which micro-computer applications are in FDN 1202?,answer
What courses are taken in this year?,clarify
What is the minimum GPA needed for BSc in Applied Sciences?,answer
What is the title of PHY 1102?,answer
How do I apply for late add drop approval?,escalate
When is the ongoing course in English conducted?,answer
What is MAT 3201?,answer
Is PHY 4308 compulsory for the ASP Honours course?,answer
Does FDN 1205 cover Astronomy?,answer
What is the title of MAT 3202?,answer
Is IDC 4201 (IT) title Research Methodology?,answer
What is the prerequisite for MAT 2305?,answer
What happens if a student vandalizes classroom furniture?,answer
What courses can students choose?,clarify
Can I defer this semester?,escalate
What is the punishment for impersonation?,answer
What constitutes an examination irregularity?,answer
What electives can I choose?,clarify
How do I submit appeal documents?,escalate
What is criminal intimidation punishment?,answer
What courses are open for registration?,clarify
What subjects do I have this semester?,clarify
Is Nanochemistry (CHE 4206) an Honours course?,answer
What is the title of HPT 3312?,answer
What is the punishment for wrongful restraint?,answer
Can I withdraw after the deadline?,escalate
How do I apply for financial relief?,escalate
What courses are in this semester?,clarify
Is wrongful restraint a cognizable offence?,answer
What is the title of ZOO 3201?,answer
What is the prerequisite for Invertebrate Diversity (ZOO 1201)?,answer
Is Chemistry a subject in Applied Sciences?,answer
Who is the academic advisor for Physical Sciences?,answer
What subjects can students choose?,clarify
What lab courses are available?,clarify
Is BIO 1201 counted as a Zoology course in the CBoZo combination?,answer
How do I request proof of enrollment?,escalate
How do I escalate academic issue?,escalate
Is wrongful restraint a punishable offence?,answer
What is COM 1308?,answer
Who is the Head of the Department of Physical Sciences?,answer
Who is the Bursar?,answer
What modules are compulsory this year?,clarify
Is PHY 4613 compulsory for the ASP Honours?,answer
What compulsory subjects do I have?,clarify
What is the title of ICT 4201?,answer
Who manages university admissions?,answer
How is sexual harassment defined?,answer
Is Introduction to Statistics (STA 1301) a 3-credit course?,answer
What is the prerequisite for Linear Algebra (MAT 2302)?,answer
To whom can a student appeal a disciplinary decision?,answer
Is unlawful confinement a cognizable offence?,answer
Is PHY 4613 a 6-credit course?,answer
What subjects can I select?,clarify
Is ICT 4609 a 6-credit course?,answer
What subjects are in my degree?,clarify
What is the focus of ZOO 1201?,answer
What is the distance between Polgolla and the main campus at Mihintale?,answer
Whose consent is mandatory for academic requests to the SRC?,answer
What is the title of MAT 1201?,answer
Is IDC 3202 title Standards and Quality Management Systems?,answer
What is the abbreviation for Applied Sciences Physics?,answer
Is PHY 3302 a 3-credit course?,answer
What is IDC 2201?,answer
"""I missed my exam due to illness, what should I do?""",escalate
What courses can I select?,clarify
How do I get duplicate degree certificate?,escalate
What is the prerequisite for ZOO 3203?,answer
What subjects are in this semester?,clarify
Who is the Dean of the Faculty of Management Studies?,answer
What does the EIS allow students to do?,answer
How long did the Faculty function at Polgolla before moving?,answer
What is the prerequisite for STA 3402?,answer
How do I request attendance waiver?,escalate
How do I request hostel transfer?,escalate
Is MAT 3206 compulsory in the CM combination?,answer
What is the maximum number of credits a student can attain in an academic year?,answer
What is the prerequisite for STA 1304?,answer
Does winning a National aesthetic award give marks for the Dean's Award?,answer
Who is the university Librarian?,answer
"Whose consent is required for ""other"" (non-academic) SRC requests?",answer
Is MAT 4609 (Research Project) a 6-credit course?,answer
What is the course structure?,clarify
What is the corequisite for CHE 1203?,answer
Is MAT 2302 a 3-credit course?,answer
How do students prove their studentship?,answer
What subjects are available next semester?,clarify
Is IDC 1201 a 2-credit course?,answer
Can I change my specialization urgently?,escalate
What is the title of BOT 2202?,answer
How do I correct incorrect marks?,escalate
What courses are available next semester?,clarify
Is CHE 4605 compulsory for the ASC Honours?,answer
What subjects are in semester two?,clarify
Tell me my subjects?,clarify
What is the title of ICT 2408?,answer
How do I report discrimination?,escalate
Is the 10-student limit relevant to freshly introduced subjects?,answer
How do I apply for graduation?,escalate
What courses are offered this academic year?,clarify
What courses can I enroll in?,clarify
What is the maximum mark for Community Service in the Dean's Award?,answer
What is the title of COM 3401?,answer
Is STA 1301 a 3-credit course?,answer
Is MAT 4610 a research project course for ASM?,answer
What are the topics in FDN 1204?,answer
Is FAM 3201 compulsory for FAM specialization?,answer
How many students were in the first batch of the FAS degree program?,answer
"""My EIS account is locked, how can I unlock it?""",escalate
Is Real Analysis II (MAT 2305) a prerequisite for Mathematical Statistics I?,answer
What is the title of CHE 4206?,answer
How do I request manual registration?,escalate
Where are the nearest bank branches?,answer
What is the title of STA 2304?,answer
How do I apply for academic probation review?,escalate
How many credits equal a Field work rating?,answer
What subjects are provided this semester?,clarify
How do I request internal transfer?,escalate
Is IDC 3201 (Entrepreneurship Development) compulsory for IT?,answer
"What is the abbreviation for Chemistry, Mathematics, and Physics?",answer
Is ragging a cognizable offence?,answer
In which administrative district is the university located?,answer
Is MAT 4308 (Statistical Quality Control) a 3-credit course?,answer
What are the semester 1 modules?,clarify
Is MAT 4301 a compulsory course for ASM?,answer
What is the title of ICT 2305?,answer
Does the faculty offer Bursaries?,answer
How do I resume studies after gap?,escalate
How do I report incorrect attendance?,escalate
How do I apply for late enrollment?,escalate
What are the first year subjects?,clarify
What is the title of ICT 4307?,answer
Is Physics a subject in Applied Sciences?,answer
What is the prerequisite for ZOO 2203?,answer
How do I apply for leave due to illness?,escalate
What courses are offered?,clarify
What are the meristematic tissues in BOT 1202?,answer
What is the title of ICT 3205?,answer
How do I correct a mistake in my results sheet?,escalate
What subjects are available for first semester?,clarify
What is the credit rating for Field Project (BIO 3207)?,answer
Is PHY 1205 a corequisite for PHY 1201?,answer
Do students have unrestricted access to the library during working hours?,answer
Is a research project mandatory for Honours students?,answer
Is COM 3405 (Group Project) compulsory for the BSc in Applied Sciences (CS)?,answer
Is ragging a criminal offence?,answer
How do I contact faculty administration?,escalate
How do I file complaint to administration?,escalate
What is the title of ZOO 2204?,answer
How do I correct my name in university records?,escalate
What are the periodic properties in CHE 1201?,answer
"What is the grade point value for a ""C"" grade?",answer
What courses are in semester two?,clarify
What subjects are available this year?,clarify
What is the title of CHE 3121?,answer
Is IDC 2201 title English for Professional Purposes?,answer
What subjects are included this semester?,clarify
How do I request official confirmation?,escalate
Is COM 3405 compulsory in the CCs combination?,answer
Is CHE 3210 (Research Project) an optional course?,answer
Is IDC 4201 a 2-credit course?,answer
Is MAT 4302 (Computational Mathematics) a 3-credit course?,answer
Is General Physics (PHY 1201) a prerequisite for Thermodynamics?,answer
Is PHY 2207 a corequisite for PHY 2101?,answer
Does BIO 1202 use statistical software?,answer
What is the credit rating for MAT 4609 (Research Project)?,answer
How do I contact registrar office?,escalate
What is OPAC?,answer
How do I apply for specialization change?,escalate
How many credits must be from Health Promotion for Honours eligibility?,answer
Does FDN 1204 cover Matrices?,answer
How do I correct enrollment error?,escalate
Can a convicted student be expelled?,answer
What happens if a student misses a final exam without consent?,answer
How do I request special exam conditions?,escalate
Does FDN 1205 cover Earth Science?,answer
How is GPA calculated?,answer
Can a student apply for the Dean’s Award?,answer
Who is the Dean of the Faculty of Technology?,answer
What modules can I drop?,clarify
What is COM 3303?,answer
How do I get a duplicate student ID card?,escalate
What modules can I select?,clarify
What are the second year subjects?,clarify
When is the deadline to transfer from a three-subject to a two-subject combination?,answer
What is the minimum GPA for a First Class in Applied Sciences?,answer
What is the credit rating for Graph Theory (MAT 3201)?,answer
When was the FAS inaugurated to commence its third-year Degree Programme?,answer
How do I request dean approval?,escalate
What is the objective of IDC 1201?,answer
Is plagiarism allowed?,answer
What courses are in the handbook?,clarify
What courses are in semester one?,clarify
Is IDC 1201 title Philosophy of Science?,answer
Are extra-curricular activities considered for Honours selection?,answer
What is the title of MIB 3204?,answer
What is the abbreviation for Fisheries and Aquaculture Management?,answer
How do I submit a disciplinary appeal?,escalate
Show my courses?,clarify
What is the grade point value for A+ and A?,answer
Is IDC 2203 title Principles and Practices of Marketing?,answer
What is the module structure?,clarify
Can I change my degree programme?,escalate
What is the primary role of Student Counsellors?,answer
What subjects are required this year?,clarify
What is the purpose of the Cultural Centre?,answer
Is HPP 4802 an 8-credit course?,answer
What is the focus of Career Guidance services?,answer
How do I request transcript correction?,escalate
How do I request special approval?,escalate
How do I request change of registration status?,escalate
Who is the Dean of the Faculty of Agriculture?,answer
How do I report academic misconduct?,escalate
Is BIO 3207 (Field Project) an optional course?,answer
What is the prerequisite for BIO 3204?,answer
Who chairs the SRC meetings?,answer
What modules do I study?,clarify
How do I apply for year deferment?,escalate
How do I escalate an administrative issue?,escalate
What is the title of BIO 2302?,answer
What is the prerequisite for CHE 2201?,answer
What subjects are available for my batch?,clarify
How do I submit complaint form?,escalate
What is the prerequisite for COM 1305?,answer
What is the university's official website?,answer
What subjects are available for study?,clarify
What courses are scheduled this semester?,clarify
What is the Learning Management System (LMS)?,answer
What is the maximum punishment for committing ragging?,answer
What is the title of IDC 3201?,answer
What is the title of BDC 4201?,answer
What are the vertebrate classes in ZOO 1302?,answer
What is the duration of an intensive English course?,answer
What are the five departments that make up the FAS?,answer
Can a student re-sit if they get an E grade?,answer
What is the minimum number of students required for a subject combination to be offered?,answer
What subjects do students study in year 3?,clarify
What is the second digit in a course code?,answer
How do I request reconsideration of results?,escalate
What subjects can I add?,clarify
How do I request special case approval?,escalate
Is IDC 4201 (Scientific Communication) compulsory for Applied Sciences?,answer
What courses should I take?,clarify
What modules are available this year?,clarify
What is the duration of a 2-credit theory exam?,answer
What modules are in this semester?,clarify
What modules are in my degree?,clarify
What is the requirement for the Health Promotion gold medal?,answer
What is the title of MAT 1205?,answer
What modules are in the curriculum?,clarify
How do I submit supporting documents?,escalate
Is alcohol consumption allowed on campus?,answer
What is the minimum number of credits for a 3-year BSc degree?,answer
What modules should I take?,clarify
Does CHE 1302 cover Thermodynamics?,answer
Who is eligible for hostel facilities?,answer
What is the minimum number of credits for a BSc Honours degree?,answer
How do I request reconsideration?,escalate
Can students retrieve items from other libraries?,answer
How do I withdraw permanently?,escalate
Where is the main university library located?,answer
"Is BIO 4204 compulsory for BDC, FAM, and MIB specializations?",answer
How do I request manual result update?,escalate
How do I request emergency leave?,escalate
How do I correct an error in EIS?,escalate
Can I reduce my credit load?,escalate
What courses are required this year?,clarify
How long is the intensive English course for first-year students?,answer
When was the FAS finally established at the Mihintale campus?,answer
How do I request a result correction?,escalate
When can mentors be contacted?,answer
Are counselling services confidential?,answer
Is PHY 3302 compulsory for Joint Major Physics?,answer
What is the maximum rigorous imprisonment for criminal intimidation?,answer
How do I obtain certified copies?,escalate
Tell me my modules?,clarify
What courses are in the yearly plan?,clarify
What are the semester 2 subjects?,clarify
What grade point is a D+?,answer
What subjects are offered?,clarify
How do I report a system problem?,escalate
What subjects are in year two?,clarify
What grade corresponds to a 1.7 grade point?,answer
What courses do I study?,clarify
How do I submit medical documents?,escalate
What modules are optional this year?,clarify
Is BIO 1202 counted as a Botany course in the CBoZo combination?,answer
What is the title of HPT 4204?,answer
What is the prerequisite for CHE 3311?,answer
Is MIB 3201 compulsory for MIB specialization?,answer
What subjects do students study in year 2?,clarify
What does the Department of Computing offer?,answer
What was the Faculty of Applied Sciences (FAS) initially called?,answer
What subjects should I register for?,clarify
What is the title of HPT 3205?,answer
Is COM 3306 a corequisite for COM 3307?,answer
What courses are there?,clarify
Can I register manually due to system error?,escalate
Is COM 4604 compulsory for the ASCs Honours?,answer
What is the first digit in a course code?,answer
What are the third year subjects?,clarify
Is STA 2207 a corequisite for STA 2302?,answer
Is HPP 4801 an 8-credit course?,answer
Is PHY 4613 a research project course for ASP?,answer
List my courses?,clarify
When was the first batch of students directly sent by the UGC enrolled?,answer
What is the title of MAT 2203?,answer
Who is the current Vice-Chancellor of RUSL?,answer
What is the title of HPP 4801?,answer
What is the abbreviation for Microbiology?,answer
What are my semester subjects?,clarify
How do I get graduation certificate?,escalate
How do I request administrative intervention?,escalate
What modules should I register for?,clarify
Is CHE 4216 compulsory for Chemistry Honours?,answer
How do I report a lost student ID card?,escalate
What modules do students study in year 2?,clarify
Is Multimedia Technologies (ICT 2210) an IT course?,answer
What is the title of CHE 3209?,answer
What is the role of the DELT?,answer
What are the semester 1 subjects?,clarify
What is the prerequisite for COM 3306?,answer
How do I get an enrollment certificate?,escalate
What is the title of IDC 4201?,answer
What is the code for Interdisciplinary courses?,answer
How do I update my personal details in EIS?,escalate
How do I get academic clearance certificate?,escalate
What is the prerequisite for Statistical Methods in Biology (BIO 1202)?,answer
Are drugs and tobacco permitted?,answer
What courses are available for first semester?,clarify
What subjects do students study in year 1?,clarify
What is the title of FAM 3201?,answer
What is the punishment for causing mischief to university property?,answer
How do I request administrative approval?,escalate
What is the prerequisite for Molecular Biology (BIO 3201)?,answer
What is the title of STA 2301?,answer
What courses are part of semester one?,clarify
What modules do students study in year 3?,clarify
What is the prerequisite for Introduction to Biochemistry (CHE 2104)?,answer
What happens if a student fails to register within the Add-Drop period?,answer
How do I unlock my account?,escalate
What is the maximum number of credits a student can attain per semester?,answer
Who must take Basic Mathematics (FDN 1204)?,answer
How do I report harassment?,escalate
What is the title of MAT 4301?,answer
What is the prerequisite for Advanced Physical Chemistry I (CHE 4202)?,answer
When was the Rajarata University of Sri Lanka (RUSL) established?,answer
How do I apply for official certification?,escalate
What courses are available for enrollment?,clarify
How do I escalate my issue?,escalate
Is MAT 4610 compulsory for the ASM Honours?,answer
List my modules?,clarify
Which IDCs are compulsory?,answer
What is the title of MIB 3201?,answer
How do I appeal an exam result?,escalate
How many notional hours equal one credit for industrial training?,answer
What is the course title for BOT 1202?,answer
Can I request disability accommodation?,escalate
What subjects are available for second semester?,clarify
How do I apply for degree upgrade?,escalate
Which modules are compulsory?,clarify
What is the title of BOT 3201?,answer
What is the abbreviation for Applied Sciences Mathematics?,answer
What modules are available now?,clarify
How many D grades are allowed for Honours application in Applied Sciences?,answer
What courses are included this semester?,clarify
How do I request exam rescheduling?,escalate
How do I get verification for external use?,escalate
How do I request readmission after suspension?,escalate
"What is the abbreviation for Chemistry, Computer Science, and Physics?",answer
What is the title of COM 2307?,answer
What courses are taught this year?,clarify
What is the maximum mark for Sports in the Dean's Award?,answer
Is ICT 3411 (Group Project) compulsory for the BSc in IT degree?,answer
Does authoring a paper in a peer-reviewed journal count for the Dean's Award?,answer
What is the title of HPF 2201?,answer
Who is the academic advisor for Biological Sciences?,answer
What is the title of ICT 1404?,answer
"What is the abbreviation for Physics, Mathematics, and Statistics?",answer
What is in BIO 1203?,answer
How do I get a transcript?,escalate
What is the title of ICT 4306?,answer
What is PHY 2210?,answer
I want to correct my exam mark.,escalate
How do I request internship approval?,escalate
To which hospitals are emergency medical cases referred?,answer
Does the charter explain disciplinary procedures?,answer
What modules are available for first semester?,clarify
What is the title of IDC 1201?,answer
How do I escalate attendance dispute?,escalate
Where is the University Career Guidance Unit (UCGU) located?,answer
Is CHE 1104 a corequisite for CHE 1201?,answer
What subjects are offered this semester?,clarify
What subjects do I study?,clarify
How do I get proof of enrollment?,escalate
What subjects are part of semester one?,clarify
Is bail allowed for hostage-taking suspects?,answer
What is the minimum credits for BSc in Information Technology?,answer
Who receives the Dr. Shirani Nathaneal Memorial Gold Medal?,answer
What is the title of CHE 3216?,answer
Who is the FAS coordinator of the Career Guidance Unit (CGU)?,answer
How do I request exception to rules?,escalate
Can a 4-year Honours student revert to a 3-year degree?,answer
Is General Biology (FDN 1203) compulsory for everyone?,answer
How do I report grading error?,escalate
How do I request degree verification?,escalate
Is General Biology (FDN 1203) zero-credited?,answer
How do I switch degree program?,escalate
What does SRC stand for?,answer
What is the title of HPF 1101?,answer
How do I report unfair grading?,escalate
What is the minimum requirement for Second Class (Lower Division)?,answer
Does FDN 1205 cover Ecosystems?,answer
What is the abbreviation for Information Technology?,answer
What subjects should I prioritize?,clarify
Is MAT 4301 compulsory for the ASM Honours course?,answer
What is the FAS official website?,answer
How do I request a subject substitution?,escalate
How do I appeal a suspension?,escalate
Is MAT 4306 (Operations Research IV) a 3-credit course?,answer
What courses are included in the program?,clarify
Who is the Assistant Librarian?,answer
What is the duration of a 1-credit theory exam?,answer
What is the prerequisite for Electromagnetism (PHY 2102)?,answer
How do I report a technical error in EIS?,escalate
What are my semester courses?,clarify
How do I get a degree certificate?,escalate
How do I apply for medical leave?,escalate
What is the course title for BOT 2201?,answer
What is the title of MIB 4201?,answer
Give me my modules?,clarify
Does the Faculty conduct English language training?,answer
Is Career Development (IDC 1202) used for GPA?,answer
Is COM 4604 a research project course for ASCs?,answer
What is the title of HPT 2302?,answer
What subjects are in year one?,clarify
How do I request special permission for course?,escalate
Is Analytical Chemistry (CHE 2103) a second-year course?,answer
How many notional hours equal one credit for a taught course?,answer
What courses can I drop?,clarify
What is the minimum GPA for a First Class in IT?,answer
Is Computer Science a subject in Applied Sciences?,answer
Can I appeal my final grade?,escalate
What subjects are available for enrollment?,clarify
How do I get approval for subject overload?,escalate
What subjects are in my programme?,clarify
What courses are in year one?,clarify
What practical modules are available?,clarify
How do I update official student details?,escalate
When are students assigned to a mentor group?,answer
How do I escalate result issue?,escalate
What is the specialization area for BDC courses?,answer
What modules are part of semester two?,clarify
What is the course title for PHY 2103?,answer
In what medium are all courses offered at the FAS?,answer
Which optional modules are available?,clarify
Who is the academic advisor for Chemical Sciences?,answer
How do I request urgent document processing?,escalate
How do I meet the registrar?,escalate
What practical subjects do I have?,clarify
How do I get official enrollment proof?,escalate
What is the focus of BOT 1201?,answer
What is the title of STA 3303?,answer
What courses are available now?,clarify
Is IDC 1202 a GPA course?,answer
Who is the Dean of the Faculty of Medicine & Allied Sciences?,answer
Can I transfer to another department?,escalate
What is the prerequisite for PHY 2101?,answer
How do I apply for hostel transfer?,escalate
Is ICT 1402 a 4-credit course?,answer
What is the prerequisite for Animal Behaviour (ZOO 2203)?,answer
Who is the Assistant Registrar of the Faculty?,answer
How do I apply for special academic approval?,escalate
What is the abbreviation for Mathematics and Physics?,answer
Does FDN 1205 cover Radiation?,answer
How do I get approval for missing deadline?,escalate
How do I request exam remarking?,escalate
How do I request a re-evaluation?,escalate
Is Quantum Mechanics (PHY 4210) an Honours course?,answer
How do I get GPA verification?,escalate
How do I change specialization?,escalate
What are the first year courses?,clarify
How do I escalate technical problem?,escalate
How do I escalate an academic complaint?,escalate
What modules are there?,clarify
How do I report system malfunction?,escalate
Is there a gold medal for IT students?,answer
How do I request a deadline extension?,escalate
What is the prerequisite for Vertebrate Diversity (ZOO 1302)?,answer
How do I apply for convocation?,escalate
What modules can I add?,clarify
What subjects are in the yearly plan?,clarify
How long is a BSc Honours degree program?,answer
What is the course title for BIO 1203?,answer
What modules are in my programme?,clarify
"What are the operating hours of the ""Milk Bar""?",answer
Is IDC 4201 (Research Methodology) compulsory for IT?,answer
Is IDC 1202 (Career Development) compulsory?,answer
What modules are in semester two?,clarify
What is the course code meaning for CHE 1201?,answer
How should students submit requests to the SRC?,answer
What is the course code for Plant Diversity?,answer
What is the abbreviation for Central Province Affiliated University College?,answer
How do I correct GPA mistake?,escalate
What is the prerequisite for Applied Entomology (ZOO 3203)?,answer
How do I request leave of absence?,escalate
What subjects are taken in this year?,clarify
When did the first batch of students graduate?,answer
How do I request exception approval?,escalate
Who is the Head of the Department of Chemical Sciences?,answer
Is IDC 3201 title Entrepreneurship Development?,answer
What is the title of STA 3401?,answer
Who receives the Dr. Chamila Mannapperuma Memorial Gold Medal?,answer
What courses are compulsory this year?,clarify
What subjects can I enroll in?,clarify
What subjects are scheduled this semester?,clarify
How do I request industrial training approval?,escalate
What is the title of FDN 1205?,answer
What subjects are in the handbook?,clarify
Is Mathematics a subject in Applied Sciences?,answer
Is HPT 4501 a 5-credit course?,answer
What is the maximum time to complete a 4-year BSc Honours degree?,answer
How do I submit formal request letter?,escalate
How do I get official academic record?,escalate
What modules do students study in year 1?,clarify
What courses do I have this semester?,clarify
What weight is given to Sports in the Honours interview?,answer
What is the marking weight for GPA in the Honours selection interview?,answer
What subjects are assigned this semester?,clarify
How do I request official documentation?,escalate
What subjects are part of semester two?,clarify
What is the title of PHY 4215?,answer
What is the nature of Biology in FDN 1203?,answer
Which subject combinations are eligible for Industrial Mathematics Honours?,answer
What is IDC 1201?,answer
Is Introduction to Computers (FDN 1202) compulsory for IT students?,answer
How do I apply for credit transfer?,escalate
What are the available courses?,clarify
Can a student apply for Honours with a GPA of 2.9?,answer
How do I correct transcript mistake?,escalate
What is MAT 2306?,answer
What are the available modules?,clarify
What is the title of CHE 3201?,answer
What is the title of ICT 4609?,answer
What is the abbreviation for Health Promotion?,answer
What grade is required for Foundation (FDN) courses?,answer
What is the code for Foundation courses?,answer
What is the course title for ICT 2204?,answer
What is the prerequisite for MAT 2201?,answer
What is the title of PHY 3302?,answer
Is HPT 4506 a 5-credit course?,answer
How do I request administrative review?,escalate
What are the methods of course assessment?,answer
What modules are available for enrollment?,clarify
What is the abbreviation for Rajarata University of Sri Lanka?,answer
"""I cannot access LMS, what should I do?""",escalate
How do I report ragging?,escalate
How do I report grading mistake?,escalate
What is the abbreviation for Biodiversity Conservation?,answer
What subjects are in the academic plan?,clarify
How do I request administrative assistance?,escalate
What subjects are offered this academic year?,clarify
How do I submit an academic appeal?,escalate
What modules are available for my batch?,clarify
How do I request approval to drop a compulsory subject?,escalate
What modules are provided this semester?,clarify
Is FDN 1204 compulsory for those who followed Biology at A/L?,answer
How do I get administrative assistance?,escalate
What optional subjects are available?,clarify
What is the title of CHE 2205?,answer
How do I correct grade entry error?,escalate
What is the prerequisite for STA 3401?,answer
What are the semester 2 courses?,clarify
What is the duration of a standard semester?,answer
What is the course title for BDC 3301?,answer
How do I request academic verification?,escalate
What are the available subjects?,clarify
What modules are offered this academic year?,clarify
What is the abbreviation for Chemistry and Physics?,answer
How do I request adjustment due to medical reason?,escalate
How do I update contact details?,escalate
What is the prerequisite for Breeding Techniques (FAM 3202)?,answer
How do I apply for hardship consideration?,escalate
What courses are provided this semester?,clarify
What is the abbreviation for Applied Sciences Computer Sciences?,answer
What modules are available for selection?,clarify
Is PHY 4302 a 3-credit course?,answer
How do I apply for academic reconsideration?,escalate
Is COM 1308 a 3-credit course?,answer
What is the title of ICT 1201?,answer
What subjects can I drop?,clarify
What modules are included this semester?,clarify
What is the title of PHY 3207?,answer
Is a student allowed to drop a subject in a three-subject combination?,answer
Is BIO 1203 counted as a Botany course in the CBoZo combination?,answer
What are the last two digits in a course code?,answer
How do I request counselling support?,escalate
How do I request registrar meeting?,escalate
Does FDN 1306 cover Probability?,answer
What is the title of PHY 4211?,answer
What are the third year courses?,clarify
What courses are available for study?,clarify
How do I escalate academic misconduct case?,escalate
How do I escalate a grading issue?,escalate
How do I submit disciplinary appeal?,escalate
What subjects are taught this year?,clarify
How do I apply for graduation clearance?,escalate
What modules are assigned this semester?,clarify
How do I request special permission?,escalate
What subjects do I need to complete?,clarify
How do I request graduation clearance?,escalate
What subjects are there?,clarify
Does course registration automatically enroll a student for exams?,answer
What is the title of COM 3306?,answer
Can I get approval for late registration?,escalate
What is the Mahapola Scholarship?,answer
What courses should I register for?,clarify
Who is the Head of the Department of Computing?,answer
What modules are available next semester?,clarify
Does the student handbook reserve the right to amend content?,answer
What courses are available for second semester?,clarify
How do I submit a grievance?,escalate
How do I change my personal details?,escalate
How do I request GPA recalculation?,escalate
What is the min grade required in the English for Science foundation course?,answer
What courses are part of my degree?,clarify
What is the title of COM 1201?,answer
What subjects are open for registration?,clarify
How do I request a marking review?,escalate
Is FDN 1202 (Introduction to Computers) compulsory?,answer
What subjects are included in the program?,clarify
How do I request dean meeting?,escalate
What is the title of BIO 1201?,answer
Is STA 3303 compulsory in the CS combination?,answer
"Is IDC 4201 compulsory for ASM, ASP, ASCs, and ASC?",answer
How do I update my student profile?,escalate
What is STA 2305?,answer
Where was the CPAUC initially located?,answer
What courses are in the academic plan?,clarify
How do I get approval for late add drop?,escalate
What modules are in the handbook?,clarify
How do I report a technical error in LMS?,escalate
What modules are required this year?,clarify
How do I apply for scholarship reconsideration?,escalate
What courses are studied in semester one?,clarify
What services does CITS provide?,answer
"""I need an urgent transcript for visa, what is the process?""",escalate
What modules can I enroll in?,clarify
Is MAT 4305 (Operations Research III) a 3-credit course?,answer
What are the fourth year subjects?,clarify
